sample,animal,project,breed,origin,country,locality,season,day,place,group
EHI01322,SD0310201,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01288,SD0310301,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01301,SD0310401,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01310,SD0310501,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01329,SD0310601,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01295,SD0310701,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01307,SD0310801,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01286,SD0310901,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01326,SD0311101,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01327,SD0311201,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01298,SD0311601,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01313,SD0311901,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01297,SD0312001,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01318,SD0312101,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01321,SD0312201,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01302,SD0312301,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01294,SD0312501,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01312,SD0312601,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01282,SD0312801,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
EHI01324,SD0312901,,Sled dog,Military,Greenland,Daneborg,summer,Unknown,east,Sled_dog
